The program mdatom performs a MD-run for a collection of atoms, using:
  1. Data characterizing the md-run
  2. Atomic coordinates and velocities


Data characterizing the MD-run:
# Title
Sample input file
#                 NumberAtoms                 AtomicMass                     MDType
                         1000                          1                          0
#                  BoxSize(x)                 BoxSize(y)                 BoxSize(z)
                       10.436                     10.436                     10.436
#               NumberMDSteps                InitialTime                   TimeStep
                         1000                          0                      0.005
#          InitialTemperature          TargetTemperature    TemperatureCouplingTime
                       120.27                     120.27                        0.1
#                  RandomSeed
                     10021988
#            XVInitialization  CoordInitializationSpread              FinalXVOutput
                            0                          0                          1
#          NAtomsOnBoxEdge(x)         NAtomsOnBoxEdge(y)         NAtomsOnBoxEdge(z)
                           10                         10                         10
#                   EpsilonLJ                    SigmaLJ    InteractionCutoffRadius
                            1                          1                        2.5
#    PropertyPrintingInterval    NumberRadialDistrPoints    RadialDistrCutoffRadius
                            1                        100                        2.5
#            TrajectoryOutput     TrajectoryOutputFormat   TrajectoryOutputInterval
                            0                          2                          5


Atomic coordinates and velocities:

 The coordinates are generated by putting atoms on a periodic lattice.
 The velocities are taken from a Maxwellian distribution.
 The initial temperature is: 119.366


Starting MD iterations...

           STEP           TIME        E-TOTAL      E-KINETIC    E-POTENTIAL         VIRIAL       PRESSURE        SCALE-T

              1              0        -3591.7         1488.7        -5080.4       -7055.33        5.01152              1
              2          0.005       -3591.68        1473.81       -5065.49        -7167.1        5.06834              1
              3           0.01       -3591.61        1429.66       -5021.27       -7497.96        5.23651              1
              4          0.015       -3591.99        1358.01          -4950       -8031.85        5.50764              1
              5           0.02       -3594.71        1262.33       -4857.03       -8735.59         5.8643              1
              6          0.025       -3599.35        1148.47       -4747.82        -9565.6        6.28436              1
              7           0.03       -3605.04        1025.16        -4630.2       -10459.4        6.73629              1
              8          0.035       -3609.78        903.985       -4513.77       -11338.5        7.18084              1
              9           0.04        -3613.6        797.984       -4411.59       -12108.8        7.57049              1
             10          0.045       -3616.86        718.973       -4335.83       -12684.8        7.86201              1
             11           0.05       -3619.74         674.39       -4294.13       -13012.6        8.02813              1
             12          0.055       -3622.52        665.462       -4287.99       -13081.7        8.06342              1
             13           0.06       -3624.91        687.575       -4312.48       -12924.5         7.9842              1
             14          0.065       -3627.12         732.31       -4359.43       -12599.2        7.81961              1
             15           0.07       -3628.93        789.926       -4418.85       -12175.2        7.60471              1
             16          0.075       -3630.46        851.375       -4481.83         -11717        7.37202              1
             17           0.08        -3631.6         909.52       -4541.12       -11277.1        7.14811              1
             18          0.085       -3632.52        959.682       -4592.21       -10890.1        6.95054              1
             19           0.09       -3632.83        999.683       -4632.51       -10574.8        6.78906              1
             20          0.095       -3633.34        1029.52       -4662.86       -10330.7        6.66335              1
             21            0.1        -3633.4        1050.88       -4684.28       -10149.3        6.56947              1
             22          0.105       -3633.47        1066.49       -4699.96       -10010.9        6.49749              1
             23           0.11        -3633.3        1079.49        -4712.8       -9894.92        6.43706              1
             24          0.115       -3632.94        1092.82       -4725.76       -9780.46        6.37774              1
             25           0.12       -3632.48        1108.76       -4741.23       -9650.87        6.31108              1
             26          0.125       -3632.44         1128.7       -4761.14       -9494.28        6.23093              1
             27           0.13       -3631.77        1153.02       -4784.79       -9310.68         6.1375              1
             28          0.135       -3631.18        1181.11        -4812.3       -9101.48        6.03128              1
             29           0.14       -3630.23         1211.8       -4842.04       -8875.93        5.91698              1
             30          0.145       -3629.69        1243.71        -4873.4       -8641.02        5.79791              1
             31           0.15       -3628.97        1275.67       -4904.64       -8406.65        5.67918              1
             32          0.155       -3627.81        1306.89        -4934.7       -8179.31        5.56415              1
             33           0.16        -3626.3        1336.93       -4963.23       -7961.98        5.45429              1
             34          0.165       -3625.02        1365.68        -4990.7       -7754.05         5.3492              1
             35           0.17       -3623.46        1393.36       -5016.81       -7555.76        5.24912              1
             36          0.175       -3622.13         1420.5       -5042.64       -7362.11        5.15146              1
             37           0.18       -3620.73         1447.7       -5068.43       -7170.23        5.05486              1
             38          0.185       -3619.79        1475.17       -5094.96          -6977        4.95764              1
             39           0.19       -3618.63        1502.62       -5121.26       -6786.63        4.86208              1
             40          0.195       -3617.61        1529.28       -5146.89       -6603.48        4.77028              1
             41            0.2       -3616.78         1554.2       -5170.98       -6433.88        4.68543              1
             42          0.205       -3615.95         1576.6       -5192.56       -6283.82        4.61055              1
             43           0.21        -3614.5        1595.97       -5210.47       -6158.69        4.54851              1
             44          0.215       -3613.12        1612.02       -5225.14       -6058.17        4.49897              1
             45           0.22       -3612.01         1624.8       -5236.81       -5981.16         4.4613              1
             46          0.225       -3610.93        1634.74       -5245.67       -5925.19        4.43429              1
             47           0.23        -3610.4        1642.58       -5252.98       -5883.21        4.41427              1
             48          0.235       -3609.52        1649.11       -5258.63       -5852.06        4.39983              1
             49           0.24       -3608.54        1654.87       -5263.41        -5826.8        4.38839              1
             50          0.245       -3607.74        1660.16        -5267.9       -5804.11        4.37818              1
             51           0.25       -3606.89         1665.4       -5272.29       -5781.42        4.36794              1
             52          0.255       -3606.19        1671.37       -5277.56       -5752.42        4.35444              1
             53           0.26       -3605.77        1678.99       -5284.76       -5710.39        4.33425              1
             54          0.265       -3605.02        1688.75       -5293.76       -5653.76        4.30676              1
             55           0.27       -3604.24        1700.46       -5304.71       -5583.05        4.27216              1
             56          0.275       -3603.76        1713.48       -5317.24       -5502.07         4.2323              1
             57           0.28       -3602.98        1727.02          -5330       -5418.27        4.19108              1
             58          0.285       -3602.35        1740.31       -5342.66       -5336.03        4.15064              1
             59           0.29       -3602.01        1752.45       -5354.46       -5261.49        4.11404              1
             60          0.295       -3601.75        1762.43       -5364.18       -5202.63        4.08537              1
             61            0.3       -3601.56        1769.32       -5370.88       -5166.05        4.06795              1
             62          0.305       -3601.38        1772.61          -5374       -5155.46        4.06368              1
             63           0.31       -3600.49        1772.41        -5372.9       -5172.49        4.07355              1
             64          0.315       -3600.16        1769.37       -5369.53        -5208.8        4.09306              1
             65           0.32        -3599.8        1764.49       -5364.29       -5259.16        4.11974              1
             66          0.325       -3599.45        1758.68       -5358.13       -5316.85        4.15017              1
             67           0.33       -3599.56        1752.33       -5351.89       -5377.56        4.18205              1
             68          0.335       -3599.31        1745.14       -5344.45       -5445.12        4.21746              1
             69           0.34       -3599.02        1736.65       -5335.68       -5521.05        4.25702              1
             70          0.345       -3598.59         1726.8       -5325.39        -5605.5        4.30078              1
             71           0.35       -3598.46           1716       -5314.46       -5693.67        4.34615              1
             72          0.355       -3598.26        1704.96       -5303.22       -5781.27        4.39106              1
             73           0.36       -3598.26        1694.54        -5292.8       -5861.26        4.43187              1
             74          0.365       -3598.37        1685.73        -5284.1       -5926.89         4.4652              1
             75           0.37       -3598.08        1679.85       -5277.92       -5970.72        4.48745              1
