The program mdatom performs a MD-run for a collection of atoms, using:
  1. Data characterizing the md-run
  2. Atomic coordinates and velocities


Data characterizing the MD-run:
# Title
Test 5, 1000 atoms
#                 NumberAtoms                 AtomicMass                     MDType
                         1000                          1                          0
#                  BoxSize(x)                 BoxSize(y)                 BoxSize(z)
                       10.436                     10.436                     10.436
#               NumberMDSteps                InitialTime                   TimeStep
                         1500                         10                      0.005
#          InitialTemperature          TargetTemperature    TemperatureCouplingTime
                            0                     120.27                        0.1
#                  RandomSeed
                     10021988
#            XVInitialization  CoordInitializationSpread              FinalXVOutput
                            3                          0                          1
#          NAtomsOnBoxEdge(x)         NAtomsOnBoxEdge(y)         NAtomsOnBoxEdge(z)
                           10                         10                         10
#                   EpsilonLJ                    SigmaLJ    InteractionCutoffRadius
                            1                          1                        2.5
#    PropertyPrintingInterval    NumberRadialDistrPoints    RadialDistrCutoffRadius
                            1                        100                        2.5
#            TrajectoryOutput     TrajectoryOutputFormat   TrajectoryOutputInterval
                            0                          2                          5


Atomic coordinates and velocities:

Sample input file
 The initial temperature is: 138.346


Starting MD iterations...

           STEP           TIME        E-TOTAL      E-KINETIC    E-POTENTIAL         VIRIAL       PRESSURE        SCALE-T

              1             10       -3598.26        1720.71       -5318.96       -5886.12         4.4618              1
              2         10.005       -3598.32           1721       -5319.32       -5885.94        4.46186              1
              3          10.01        -3598.1        1724.76       -5322.86       -5862.96        4.45059              1
              4         10.015        -3598.2        1731.92       -5330.12       -5816.26         4.4274              1
              5          10.02       -3597.81        1741.03       -5338.84       -5758.59        4.39892              1
              6         10.025        -3598.1        1749.67       -5347.77       -5703.51        4.37168              1
              7          10.03       -3598.21        1755.31       -5353.52       -5671.16        4.35601              1
              8         10.035       -3598.52        1756.19       -5354.71        -5672.8        4.35749              1
              9          10.04        -3598.6        1751.61       -5350.21       -5714.52        4.37928              1
             10         10.045       -3598.62        1741.89       -5340.51        -5793.4        4.41984              1
             11          10.05       -3598.31        1728.18       -5326.49       -5901.83         4.4754              1
             12         10.055       -3598.48        1712.29       -5310.77       -6024.23        4.53787              1
             13          10.06       -3598.74        1696.57       -5295.31       -6144.95        4.59946              1
             14         10.065       -3598.56        1683.69       -5282.25       -6246.58        4.65152              1
             15          10.07       -3598.03        1676.09       -5274.12       -6311.72        4.68526              1
             16         10.075       -3597.96           1675       -5272.95       -6329.12        4.69483              1
